,orig.ident,nCount_ATAC,nFeature_ATAC,nCount_RNA,nFeature_RNA,donor,batch,SEACell,Majority_Celltype,Majority_Cell_Count,condition,nCount_peaks,nFeature_peaks,nCount_geneActivities,nFeature_geneActivities
c0h_SEACell-1,VM_c0h,164666.0,49213,2200.1938955593873,10656,donor1,Batch1,SEACell-1,Mono-like,80,control,78087.0,40289,153291.0,17124
c0h_SEACell-111,VM_c0h,100225.0,35637,1813.181797611819,20346,donor1,Batch1,SEACell-111,Mono-like,86,control,47364.0,29202,100598.0,16149
c0h_SEACell-135,VM_c0h,38443.0,16933,2760.11793007872,9425,donor1,Batch1,SEACell-135,Mono-like,24,control,18489.0,14603,34741.0,12423
c0h_SEACell-141,VM_c0h,6693.0,3500,2023.9488325504574,8937,donor1,Batch1,SEACell-141,Mono-like,8,control,3127.0,2989,6790.0,4879
c0h_SEACell-70,VM_c0h,212778.0,56400,1997.9266587999684,15772,donor1,Batch1,SEACell-70,Mono-like,126,control,100779.0,45574,202973.0,17599
c0h_SEACell-3,VM_c0h,88394.0,32169,2514.7236456419737,11430,donor1,Batch1,SEACell-3,Mono-like,52,control,42011.0,26738,86074.0,15857
c0h_SEACell-65,VM_c0h,116597.0,39291,2201.4988398075,12178,donor1,Batch1,SEACell-65,Mac-DC-like,52,control,55406.0,32435,112267.0,16546
c0h_SEACell-63,VM_c0h,176925.0,50234,2380.8146188537453,11843,donor1,Batch1,SEACell-63,Mono-like,73,control,84147.0,41123,163939.0,17167
c0h_SEACell-144,VM_c0h,94547.0,33817,2240.99465453496,12651,donor1,Batch1,SEACell-144,Mac-DC-like,44,control,45188.0,28391,86452.0,15847
c0h_SEACell-16,VM_c0h,162187.0,47961,2269.3660723836097,13253,donor1,Batch1,SEACell-16,Mono-like,79,control,76863.0,39117,156703.0,17180
c0h_SEACell-29,VM_c0h,132277.0,42674,1946.9610408698059,14730,donor1,Batch1,SEACell-29,Mono-like,88,control,62954.0,35305,122402.0,16673
c0h_SEACell-113,VM_c0h,78334.0,29779,1840.6058941845529,16462,donor1,Batch1,SEACell-113,Mac-DC-like,47,control,37186.0,24754,73852.0,15287
c0h_SEACell-52,VM_c0h,77584.0,29275,2557.1346360807365,10954,donor1,Batch1,SEACell-52,Mono-like,52,control,37107.0,24699,71833.0,15342
c0h_SEACell-134,VM_c0h,60839.0,24552,2497.8199407154975,11276,donor1,Batch1,SEACell-134,Mono-like,54,control,28953.0,20651,56992.0,14450
